Data,Mês,Ano,Unidade,Categoria ,Turno ,Contagem,Observação 
24/08/2021,Agosto,2021,Pe. Eutiquio,Funcionário,Tarde,5,Reunião Maker Day
25/08/2021,Agosto,2021,Pe. Eutiquio,Aluno Online ,Tarde,1,
25/08/2021,Agosto,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,6,
25/08/2021,Agosto,2021,Pe. Eutiquio,Aluno Online ,Tarde,1,Atividade Profª Bruna Campos - Aula Híbrida
26/08/2021,Agosto,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,5,
26/08/2021,Agosto,2021,Pe. Eutiquio,Aluno Online ,Tarde,2,
26/08/2021,Agosto,2021,Pe. Eutiquio,Funcionário,Tarde,1,Atividade Prof Leonardo - Maker Day Brasil - Aula Híbrida
30/08/2021,Agosto,2021,Pe. Eutiquio,Aluno Presencial ,Manhã,1,
30/08/2021,Agosto,2021,Pe. Eutiquio,Aluno Presencial ,Manhã,1,
01/09/2021,Setembro,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,1,
01/09/2021,Setembro,2021,Pe. Eutiquio,Funcionário,Tarde,1,
03/09/2021,Setembro,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,4,Atividade Profª Suzanny - Aula Híbrida  - Maker Day Brasil
03/09/2021,Setembro,2021,Pe. Eutiquio,Aluno Online ,Tarde,6,
03/09/2021,Setembro,2021,Pe. Eutiquio,Funcionário,Tarde,1,
06/09/2021,Setembro,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,1,
08/09/2021,Setembro,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,5,Atividade Profª Bruna Leticia - Aula Híbrida  - Maker Day Brasil - RED1
08/09/2021,Setembro,2021,Pe. Eutiquio,Aluno Online ,Tarde,3,
08/09/2021,Setembro,2021,Pe. Eutiquio,Funcionário,Tarde,1,
09/09/2021,Setembro,2021,Pe. Eutiquio,Funcionário,Manhã,1,
09/09/2021,Setembro,2021,Pe. Eutiquio,Funcionário,Tarde,2,Atividade Profª Bruna Leticia - Aula Híbrida - Maker Day Brasil - GRY2
09/09/2021,Setembro,2021,Pe. Eutiquio,Aluno Online ,Tarde,9,Atividade Profª Leonardo - Aula Híbrida  - Maker Day Brasil - RED1
09/09/2021,Setembro,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,9,
13/09/2021,Setembro,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,10,Green Maker Challenge - Prf Adriano (JUN2)
13/09/2021,Setembro,2021,Pe. Eutiquio,Aluno Online ,Tarde,1,
13/09/2021,Setembro,2021,Pe. Eutiquio,Funcionário,Tarde,2,
14/09/2021,Setembro,2021,Pe. Eutiquio,Funcionário,Tarde,2,Profª Leonardo - Aula Híbrida  - Maker Day Brasil - STAR3
14/09/2021,Setembro,2021,Pe. Eutiquio,Aluno Online ,Tarde,3,Green Maker Challenge - Bruna Campos (RED2)
14/09/2021,Setembro,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,13,
01/10/2021,Outubro,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,4,
01/10/2021,Outubro,2021,Pe. Eutiquio,Funcionário,Tarde,1,
01/10/2021,Outubro,2021,Pe. Eutiquio,Externo ,Tarde,2,
05/10/2021,Outubro,2021,Pe. Eutiquio,Externo ,Tarde,1,
06/10/2021,Outubro,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,6,
07/10/2021,Outubro,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,1,
18/10/2021,Outubro,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,6,
19/10/2021,Outubro,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,1,
21/10/2021,Outubro,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,4,
22/10/2021,Outubro,2021,Pe. Eutiquio,Externo ,Tarde,1,
29/10/2021,Outubro,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,8,
29/10/2021,Outubro,2021,Pe. Eutiquio,Externo ,Tarde,2,
08/11/2021,Novembro,2021,Pe. Eutiquio,Externo ,Tarde,37,Visita da escola Aluisio Ferreira (Kelson)
10/11/2021,Novembro,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,2,Prof. Bruna (TOP 1)
12/11/2021,Novembro,2021,Pe. Eutiquio,Aluno Online ,Tarde,5,Prof. Bruna (TOP 1)
12/11/2021,Novembro,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,1,
16/11/2021,Novembro,2021,Pe. Eutiquio,Externo ,Tarde,9,Visita - Escola Dom Aristides Pirovano (Kátia)
17/11/2021,Novembro,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,2,
17/11/2021,Novembro,2021,Pe. Eutiquio,Externo ,Tarde,1,
18/11/2021,Novembro,2021,Pe. Eutiquio,Externo ,Tarde,70,Visita - Esc. Cantinho de Reforço Escolar (Simone)
18/11/2021,Novembro,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,4,Prof. Bruna Campos (RED 2)
18/11/2021,Novembro,2021,Pe. Eutiquio,Funcionário,Tarde,1,Prof. Bruna Campos (RED 2)
19/11/2021,Novembro,2021,Pe. Eutiquio,Aluno Presencial ,Tarde,9,Prof Jean - Top 4 - Projeto Galeria
19/11/2021,Novembro,2021,Pe. Eutiquio,Funcionário,Tarde,1,Prof Jean - Top 4 - Projeto Galeria
